D2,,H2,
X,Y,X,Y
1.4462100479239162,1.0224414435032867e-9,1.4485245130211881,7.642809721692447e-10
1.594643542654762,1.4794032221106855e-9,1.5377571111909154,1.3157271953948032e-9
1.595285004891459,1.0536560061417288e-9,1.600507721075378,8.265680517128196e-10
1.7515113989573141,6.683713921324537e-10,1.6235050091018288,7.369943530656998e-10
1.9096231718945424,6.610930804576943e-10,1.6923798496650277,9.049421283179148e-10
1.9086869837653087,5.35874013922113e-10,1.6933073693856575,1.0985085402309053e-9
,,1.7079006352705162,7.151540956223994e-10
,,1.7541552635815387,9.231860115238213e-10
,,1.7808821344098669,8.603216225281975e-10
,,1.8196234195633596,4.2656666627567984e-10
,,1.8486799252040171,6.58546914326708e-10
,,1.9026797766027266,3.409982397712739e-10
,,1.7546883707106855,5.372611813209842e-10
,,1.7546623654848736,5.118392816228931e-10
,,1.893443587235149,2.450023602434803e-10
,,1.9074517355392369,2.4875196169966295e-10
