H2,,D2,
X,Y,X,Y
1.4517448238836628,1.923452423205094e-8,1.44857340709445,2.050127025783009e-8
1.60213813869891,1.9256246339000343e-8,1.5966916427409878,1.590821675081542e-8
1.6242135648872187,1.773292486454076e-8,1.5958808929141086,1.7032318895652372e-8
1.6942586151894992,1.9568903429282588e-8,1.7517362651043005,1.9722006529357494e-8
1.7085050924737206,1.5795753184701813e-8,1.910840861168818,1.7065306638136946e-8
1.8194299852944609,2.108271105902964e-8,,
1.8501653400558655,1.9499609298369874e-8,,
1.9028889770702522,2.1429246546318118e-8,,
1.9085611135750022,1.3408911995597579e-8,,
